textID,text,selected_text,sentiment
d3db039525,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn`t happen  Good Night everyone....,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn`t happen  Good Night everyone....,neutral
b8f35742f2," hey, no we were second, kind sad, but it`s ok   guitar, guitar, guitar  BBQ and good time  what about you>?","hey, no we were second, kind sad, but it`s ok   guitar, guitar, guitar  BBQ and good time  what about you",neutral
d1af52eef6,Dad just gave me his old BlackBerry. Not that old... But it doesn`t even have a scroll ball. I want that Bold.,it doesn`t even have a scroll ball.,negative
93e4f209fc,Work out. Now actual work,Work out. Now actual work,neutral
ac876ae0c5,"Back at it after a weekend of working in the yard. Didn`t open the laptop once, and I`m thankful.",I`m thankful.,positive
afa8ff98cc, just looked at your hotel web site..what a place   but they do massage  and thats my job..  lol  lol,just looked at your hotel web site..what a place   but they do massage  and thats my job..  lol,neutral
daf21b2159,"Is at coffee bean, met Dean","Is at coffee bean, met Dean",neutral
01efe51f51, internet billing with fee of 30% and only in 13 countries and a setup cost of 5000 for usa alone,internet billing with fee of 30% and only in 13 countries and a setup cost of 5000 for usa alone,neutral
5508ab48f0,it is always sunny on days when i can`t possible be outside.  life is out to get me,it is always sunny on days when i can`t possible be outside.  life is out to get me,neutral
a1b3b201c7,Six feet under theme is on jjj,Six feet under theme is on jjj,neutral
a4e5ee110d, ur gonna be missed you know  but i hope things will be better for you,ur gonna be missed you know  but i hope things will be better for you,neutral
f2e1061044,wooo...my luck is done,wooo...my luck is done,negative
7c1f28b126,  yer it is...poor little ****  but she well doesnt deserve the stick off everyone! cowell once again going against producer,ll doesnt deserv,negative
6cfbaeab29,happy mothers day to all moms out there!!,happy mothers day to,positive
0935d6c80d,I do not feel good,do not feel good,negative
9c761902b1, i wannabe in dubai,i wannabe in dubai,neutral
4012e61fce," Oh aye.....he rocks, shes ****","rocks,",positive
0c4d2b0cab,still needs another 6 hours of sleep,still needs another 6 hours of sleep,neutral
7f8311af2d,Scrubs tonight (8.00pm). woo!,woo!,positive
c973572d18, haha so your having father daugter bonding time? Lol anyways I g2g work get on msn later I`ll be bored  x,haha so your having father daugter bonding time? Lol anyways I g2g work get on msn later I`ll be bored  x,neutral
2caf2c54ef,Sweet! When are they going to be publicly available?,Sweet!,positive
628b7c8add,"i`m so sad, because my beloved boy doesn`t online, i wait for him everyday..","sad,",negative
ff6047d0ad,grinning like a Cheshire cat.... ....happy as hell. they made my day  ??,happy,positive
631c246d80, hahahaha! i haven`t been out with my friends since sunday! i`m so lame,i`m so lame,negative
1c70315ba0, suck it up,suck it up,negative
ee9d0cab1f, what`s going on sweetheart?,what`s going on sweetheart?,positive
55be15508b,What a dreary day in LA. Where did all our sunshine go?,dreary,negative
2ce6c03ba2,have you ever met a guy thatv was everything you want and need but you never really went for it w/ him ? g`nite Daddy,g`nite,positive
fc864585ca,  OMG Ur alive!!! LOL  2day has gone sooo slow  I`m going insane Grrr You doing anything tonight?,OMG Ur alive!!! LOL  2day has gone sooo slow  I`m going insane Grr,neutral
7bb43eca18," weird trigger. You should definitely ask him about them on monday, dude...  ****.",weird,negative
8f3ce0745c,I AM OFFICIALLY CELEBRATING MY 400TH TWEET. Wow! I am so proud  Its great.,Wow! I am so proud  Its great.,positive
0c6811a0e2,My phone does not work in the DONS,phone does not work,negative
09c7871cad,"chillin on break eatin some grub. pretty burnt out had an eventful day. wanting to go to the movies with Ian, not happening though.",pretty burnt,negative
aa984895f6," Oh man, that`s rough.  Sounded like the weekend went well!  Get some sleep",that`s rough.  Sounded like the weekend went well!,neutral
af3cb04ffc,who has a day long text conversation? me.,who has a day long text conversation? me.,neutral
06d8e892cf, hey dave im just up in the UK and first thing i done was put RR on  could u play ill be there new kids on the block thanks,hey dave im just up in the UK and first thing i done was put RR on  could u play ill be there new kids on the block thanks,neutral
0414afb09b,  boo. I used to live in upland... Have funnnn,e funnnn,positive
e6ecedee89, am I not good enough,not good enough,negative
d6a71d9781,"JONAS is awesome! I just watched Groovy Movies  Frankie,, was weird lol","JONAS is awesome! I just watched Groovy Movies  Frankie,, was weird lol",neutral
514fe4cf17, Knight...sweet dreams.,.sweet dreams.,positive
6df2b65239,"In French trois, nobody is sitting next to me. I feel a little lonely...",I feel a little lonely...,negative
9710662c1d,I`m sick!  it sucks! IM me! ohbabayy33,I`m sick!  it sucks!,negative
24eeede493,Just got my marks...  BCIT is the death of me I swear!,e death of me I swear!,negative
169ca458b0,GrimeStopper loss  client lost their job so we did too. Hope the quote later today turns into more work. Drowned my sorrows w a huge h ...,GrimeStopper loss  client lost their job so we did too. Hope the quote later today turns into more work. Drowned my sorrows w a huge h ...,neutral
fb4dc7bf50,Dang baby i love you ma,love yo,positive
2a6dab7a6b,So wish the Carlton game was on live  stupid channel 7 lol.,stupid channel,negative
dc5ee645fb, Why can`t you? Are you rooting for Ali in the Twitter war?,Why can`t you? Are you rooting for Ali in the Twitter war?,neutral
f9e19d4ada,So finally.. It`s raining in Delhi,So finally.. It`s raining in Delhi,neutral
0e4bc24473,Just sittin here listenin to music.  Follow Me?,Just sittin here listenin to music.  Follow Me?,neutral
f95cd61c48,Off to bed. Only one more day left at school before i get to go on holidays. Yay!! Finally. I am getting sick of school... LOL!,Off to bed. Only one more day left at school before i get to go on holidays. Yay!! Finally. I am getting sick of school... LOL!,neutral
fc8acbd5f9,Turn over report...done,Turn over report...done,neutral
dc81e11270, were you roaming?? Same thing happen to me  so I switched to AT&T.,were you roaming?? Same thing happen to me  so I switched to AT&T.,neutral
de84b70b91," But Iï¿½m for smaller companies rather than bigger ones. Itï¿½s not like I have worked at a big company to prove it, though","But Iï¿½m for smaller companies rather than bigger ones. Itï¿½s not like I have worked at a big company to prove it, though",neutral
d7f97ec5f0,plus.. janessa hurt my feelings,plus.. janessa hurt my feelings,negative
f4a743a972,Forgot my power cable at home today,Forgot my power cable at home today,neutral
56f48da395, I`m doing all of Russia today! Because I`m cracking on with Economics tommorow  I`m retaking aswell :/,I`m doing all of Russia today! Because I`m cracking on with Economics tommorow  I`m retaking aswell :/,neutral
63f8dff931, Hey! whats up? Im just at the library right now and the comp is about to sign me out,Hey! whats up? Im just at the library right now and the comp is about to sign me out,neutral
d70ed4038d,Gahh ! This weather sucksss !,Gahh ! This weather sucksss !,negative
ce61535952,it`s friday night. i`m home. no party this weekend,no party this weekend,negative
6524b733c5, Maya Kibbel DOES NOT have a facebook or myspace page,Maya Kibbel DOES NOT have a facebook or myspace page,neutral
1e87921e6f, keep telling yourself you`ll feel better by doing it and tomorrow can be a lazy day... it is Sunfay afterall  (Excuses.),keep telling yourself you`ll feel better by doing it and tomorrow can be a lazy day... it is Sunfay afterall,positive
fc2b050f0f,Damnit. I have run out of candy coated books.,Damnit.,negative
eaf45d81e2," Yeah, I know! Thanks so much",Thanks,positive
c172ff7e6b,  ahhhh it won`t let me watch the video on my phone,ahhhh it won`t let me watch the video on my phone,neutral
e44048aceb," Hi Susan, read your blog.  It`s really good.  I look forward for the tweet updates",y good,positive
628c7ef2bc,I WISH I LITERALLY COULD **** JUST ABOUT EVERY **** IN THE WORLD...IMA NYMPH,****,negative
1acc36b911,#Java is not working - hmph!  Can`t upload photos to #Facebook.,#Java is not working - hmph!  Can`t upload photos to #Facebook.,negative
00c007188e, thats not really fair. I mean you just up and leave like that and you dont even give us a party  So when you coming back or  ...,not really fair.,negative
1e8e9c0d23,  that`s bad luck!,that`s bad luck!,negative
5068d0aea4, OR... Something to do with all the Red Bull?  Hmmm. You think maybe?,OR... Something to do with all the Red Bull?  Hmmm. You think maybe?,neutral
f2b1e29977, Listened to it again coz you reminded me. This is so depressing.  ? http://blip.fm/~5joo9,depressing.,negative
c565db284d, Follow me honey,Follow me honey,neutral
4b0d9c3387,is so glad the weekend is here. Only one more week left of school with my kids.,is so glad the weekend is here.,positive
66b1458465,wow I just had a two hour conversation with someone on omegle. it was amazing,amazing,positive
448055f8d6,my pic is back..  out of the blue..,my pic is back..  out of the blue..,neutral
8929500ba0, oh no! Poor thing keep us posted.,oh no! Poor thing keep us posted.,negative
58e24db41d,  they closed the voting...all u can vote for now is best movie  Hope you win it! My 4 y/o Daughter lovesss 2 sing 'The Climb',er lovess,positive
7f7587e5b5,"7 hours and many massages later, I can now spend time with my wife and son. It`s mother`s day ya`ll. Don`t forget to grab a gift or card.","7 hours and many massages later, I can now spend time with my wife and son. It`s mother`s day ya`ll. Don`t forget to grab a gift or card.",neutral
09b5bef434," hey, I can`t make it to Makers tonight","hey, I can`t make it to Makers tonight",neutral
84fc45d0c3,http://twitpic.com/4wah5 - haha that`s right,that`s right,positive
365039fc9b,HAPPY MOTHER DAY TO ALL THE MOTHER`S IN THE ENTIRE WORLD WE DESERVED A DAY JUST FOR US RIGHT...,HAPPY MOTHER DAY TO ALL THE MOTHER`S IN THE ENTIRE WORLD WE DESERVED A DAY JUST FOR US RIGHT...,positive
1955cb4238,Why is it that America celebrates mother`s day on a different day to England? Anyhooo...Happy Mother`s Day 2 All American Mumzys!  x,Happy Mother`s Day,positive
c8d254c303, uuuugh  i hate everything,uuuugh,negative
1b93c8f38c, Thank you. I needed that,Thank you.,positive
a54b603ac4,Work in a hour,Work in a hour,neutral
6583b6ec22, how`s the baby fever,how`s the baby fever,neutral
5a1c2ce495," i think i`ll pass the worm! haha, but good morning!","i think i`ll pass the worm! haha, but good morning!",neutral
3dc678e830, ok i got you! Knight!,ok i got you! Knight!,neutral
235da13ecf,@_lightmare There are like six that hang around my house. If you can get it to come up to you... you can keep it.,@_lightmare There are like six that hang around my house. If you can get it to come up to you... you can keep it.,neutral
591a7acf09,"went to galveston, want to go back",want to go back,positive
3d64f2c8ae,Somehow I have yet to accomplish a **** thing.,accomplish a **** thing.,negative
e1966420eb,I wish my sister lived near me,wish,positive
eb8fa26e76,I`m so lost without my laptop. And no break again for me today. Made even worse that the 2 big bosses of skipton showed up today,Made even worse th,negative
c3b550b62d, such a dissapointment  hhaha,dissapointment,negative
d3f2f25252, Aural goodness,goodness,positive
94b48f6dba,Wow Derek Rose got a next student to do his SATs.  so what now? He can`t play no more?,Wow Derek Rose got a next student to do his SATs.  so what now? He can`t play no more?,neutral
84877b1395, who will we make fun  of?!?!,who will we make fun  of?!?!,neutral
490cb7f754, i just drove past your hotel  wish u was ere. I`m thinking a december trip for a real white xmas!!,wish u was ere.,positive
6e374aa8c7, heyy sweety  how did it go at advanced training? waht r u doing?? *hugz*xxxxxxxxxx,heyy sweety  how did it go at advanced training? waht r u doing?? *hugz*xxxxxxxxxx,neutral
6d7271eeee,Sorry for the delay in publishing this weeks show  Some technical difficulties during encoding. Will be out asap but may be Saturday.,difficulties,negative
da73f54df2,"Back from hospital, now at work... later studio time","Back from hospital, now at work... later studio time",neutral
caaf971d2b,I am using an on-screen keyboard,I am using an on-screen keyboard,neutral
1bc185153f,I`m having a problem with my photo here in twitter amf!!!...can`t see my face!,I`m having a problem,negative
f9471f1c8d,"Being involved in requirements and architecture is nice and all, but now I`m looking forward to writing some code!",architecture is nice an,positive
b78e793bcc,Our Quinn puppy got a sick.,sick.,negative
8e378ef424,"Cupcakes, creme brulee, tiramisu~ I want some sugar","Cupcakes, creme brulee, tiramisu~ I want some sugar",neutral
a131486b33,I feel sorry for male singers.  they are never gonna be as great Zac Hanson! Pooorr fellas,I feel sorry for male singers.  they are never gonna be as great Zac Hanson! Pooorr fellas,neutral
c59b23d306," Uh, yeah.  Totally.  But then again, I am in real life too, sooooo....","Uh, yeah.  Totally.  But then again, I am in real life too, soooo",neutral
c5fbcd3afa, u no there was no point pointing it out yesterday and ppl had 2 wait til midnight .... they were kinda pissed,they were kinda pissed,negative
e4e71486e3,"If anyone needs help with images, let me know and i will convo you the forum`s link",i will convo you,positive
b47dd76578,feels guility . sorry `bout that  http://plurk.com/p/wyqow,feels guility,negative
e5797d3009, I know that feeling.,I know that feeling.,neutral
b6ded578b8,never does  anything good school and rabbit it my life cycle dunno how to tune a giutar so i am stuffed,stuffed,negative
a6b1d92a86,homework,homework,neutral
5d29c8c13a,Off to bed - I have a hot date with Sudoku and maybe a chapter or two reading if I can stay awake that long. Have a great night tweeps!,great,positive
0ad0994809, awww  thanks lol - ermm what happened to the studying !? ha ha,thanks,positive
9cd9fb7b40,Just had an amazinq qirls-niqht-out. I quess its always qreat to have an excuse to wear tiny dresses & heels,Just had an amazinq qirls-niqht-out. I quess its always qreat to have an excuse to wear tiny dresses & heels,positive
161f0f7a1a,Waiting for the dang pizza to cook. It`s almost 9 and we still have not eaten wifey fail. Did I mention I feel like ****,Did I mention I feel like ****,negative
0bcb6eba9a,I was so hype about it being Friday & it raining outside..No rain all day... But its rainin when its time to kick-it..Mr Sun is trippin.,I was so hype about it being Friday & it raining outside..No rain all day... But its rainin when its time to kick-it..Mr Sun is trippin.,neutral
dbefaac0c1,My poor andrew just had 2 of his wisdom teeth removed.  i wish he`ll get better fast.,wish,positive
66547e576f, yeah i did haha 3rd episode is up as well,yeah i did haha 3rd episode is up as well,neutral
10acb25252,"_control aw babyy i`m sorry  i gots too excited, haha. <333","_control aw babyy i`m sorry  i gots too excited, haha. <333",neutral
82a78ae8ea,getting my hair cut todayyyy! i`m nerrrvous,i`m nerrrvous,negative
7100d525ab, I don`t find this stuff amusing any more,I don`t find this stuff amusing,negative
1344feeaf9, thanks 4 the folow,thanks,positive
7cacf686ad, congratulations!,congratulations!,positive
8614035be0,phillies gamee with mama for mothers day,phillies gamee with mama for mothers day,neutral
d6f0e4ac5e,just bought a good chocolate and a magazine... Later I`ll play comanche 4... My good saturday,good,positive
b7c1f7dac2," any chance you`ll have  a Madison, WI location soon?  maybe too small...","any chance you`ll have  a Madison, WI location soon?  maybe too small...",neutral
414fad1ccd,Its pouring and i have holes in my shoes,Its pouring and i have holes in my shoes,neutral
aa23a0ed45,"  Greetings Joan:  Just wanted to say I STILL MISS waking up to your pleasant personality & face in the a.m.    Hugs, Angel",ay I STILL MISS waking up to your pleasant personalit,positive
4d3e8d0978, i did that but my INS wouldn`t pay for the therapy  so now i dk what to do!!,w i dk what to do,negative
b57b76c800,does not know hot twitter works,does not know hot twitter works,neutral
f3e3a17d75, yea yea  im about to torture myself by doing a stanky leg marathon..ima do the dance for hrs til I can`t no mo,o torture,negative
c9d73fb0b7,really sick and tired but my body`s resisting rest!,really sick,negative
89fbc71b73, Itsurely will dear . in posted a presentation on Swine flu yest and it got 500 downloads in just a day!!i feels great,!i feels great,positive
a25d4ade87,"is in class, trying to listen but I really like twitter, facebook, .& myspace  oh yeaaah .& I`m hungry!",I really like tw,positive
becc5e7874,oh no its ok  they are coming on just now x],oh no its ok  they are coming on just now x],neutral
ef57fcd9f0,Is sick. Staying home because that`s what Levy said to do.,Is sick.,negative
24ad20ef02,I dont like this random gloomy weather,gloomy,negative
d7fd9c35cb,Yaay congrats Shmolan on graduating  I`m proud of you!! Have fun! <3,proud,positive
e5b77c7f4f,http://twitpic.com/4wsst - one of my models from a photo shoot.  stacey,http://twitpic.com/4wsst - one of my models from a photo shoot.  stacey,neutral
bab27bd635, Hey twit! Just watched poor Holly on Britains Got Talent  poor thing!! People are so mean - she only a 10 year old little girl!,!! People are so mean,negative
fadfdf0405," YAY!!!!   I have Mark issues, too...you`ll find I have A LOT of issues.   lmao",of issue,negative
955a6c952d,Happy Mother`s Day - Happy Motherï¿½s Day  http://tumblr.com/xnx1qyn0j,Happy Mother`s Day,positive
481cc9852a,Theres a spider above my bed  calming my fears by listening to greeeeen day<3,Theres a spider above my bed  calming my fears by listening to greeeeen day<,positive
23b0d1d31e, thanks buddi and it`s no problem  your my friend  yah i should post more pics of London! nothing much really u?,thanks buddi and it`s no problem  your my friend  yah i should post more pics of London! nothing much really u?,neutral
d237e55e21,It is kind of lonely when nobody will answer their phone.,It is kind of lonely when nobody will answer their phone.,negative
c7922d750d,The Palm pre doesn`t record video,The Palm pre doesn`t record video,neutral
9260a2fc53,"twittering, texting, and ipoding. i love the invention of mutitasking!",love,positive
75c0586ee5,Ok so I`m **** hungry....!  I`m fat I know..I know..! Aha,Ok so I`m **** hungry....!  I`m fat I know..I know..! Aha,negative
5a18a30b55," Yeah,we say shite alot here. you say it as shiiite,rhyming with light","Yeah,we say shite alot here. you say it as shiiite,rhyming with light",neutral
b5934ec77b, Floor mopping sounds unappealing,unappealing,negative
04e249dcf5,omg i was so nervous last block. i had my speech and i almost puked. it was horrible.... i bet i got a bad grade on it....,nervous,negative
3c6d9f9023,my computer at work is not working...booo... need a new one!  TGIF!,my computer at work is not working...booo... need a new one!  TGIF!,neutral
7fc99dd05a,White House?  This thing`s a lifesaver: http://snipurl.com/hkuj9,lifesaver:,positive
e97d6bd4ab,"Alright! Party was a success! We all had fun, & now it`s over",success!,positive
73c63767ce,"  Either way, that`s unfortunate to hear  Thanks you both for the head`s up.",", that`s unfortunate to hear  Thanks you both for the head`s",neutral
1d2f3cc141, Unless that invite comes with a beta key I`m not going to be much help...,y I`m not going to be much help...,negative
7b58377103, would like to swap...i`m sitting with 3 grumpies,like,positive
9a5b188815, me too  chrome`s popup blocker is better,me too  chrome`s popup blocker is better,neutral
e9778e805e, Content content content .... gah! Story of my life right now - thx for reminding me. That`s what I should be doing v. Tweeting,- thx,positive
05ab380c70,I dnt get to go play lasertag w/ my besties!     *old me`s dead and gone*,*old me`s dead and gon,negative
52ed8fbe83,  Happy Mother`s Day to both of yall.  from me and my boys...,Happy,positive
9ef7c50e83,The only thing about preparing 5 sermons in one week is just when you think you are done...you have to prepare the powerpoint slides,The only thing about preparing 5 sermons in one week is just when you think you are done...you have to prepare the powerpoint slides,neutral
32d9d026b4,  thanks  you`ve been quiet lately!,thanks,positive
d8f3189b95,  haha soooo party tonight???,haha soooo party tonight???,neutral
ea321b4877,"That poor girl on britains got talent, god love her  forgot the words and cried  but gets a second chance to perform again : ]",t gets a second chance to perform again,positive
c8fedd6f7e,head hurts and I feel sick  and I have to go to work tomorrow,head hurts and I feel sick,negative
98ac5d6730, I do too!! Sounds interesting,interesting,positive
1434b25cb5,just woke up...dont want to go into work at 4,dont want to go into work,negative
3cd42d40a5," my attention for the length of time to type this? Tell ya what, ill add old mans war to my wish list on amazon.","my attention for the length of time to type this? Tell ya what, ill add old mans war to my wish list on amazon.",neutral
d7731d7fea,Has a bad headache,Has a bad headache,negative
a87eed2a66, I want to be at ,I want to be at,neutral
a6fd9bfc16,"_d No, it`s not...","_d No, it`s not...",neutral
d17e715be4,"  i used to live by the ocean, i shoulda gone to the beach more often","i used to live by the ocean, i shoulda gone to the beach more often",neutral
d7112bcfb5,Artwork at 3AM. Gotta get this portfolio done for MECA by wednesday. Meeting with milonzzi to review it then.,Artwork at 3AM. Gotta get this portfolio done for MECA by wednesday. Meeting with milonzzi to review it then.,neutral
9edb8882c0,whoohoo! just went to get movies and junk food  its a womens night mwahaha >,whoohoo!,positive
344002d67a,_achillies  Thanks! And yay for being in my guild!,Thanks!,positive
744c939c9f,Oh. Seems the playable Joker PS3 exclusivity on Arkham Asylum is much bigger than thought.,Oh. Seems the playable Joker PS3 exclusivity on Arkham Asylum is much bigger than thought.,neutral
aca204a50d,Is anyone else having a bad Friday? Is not a fun day today.,not a fun day,negative
2d6812df58,Watching Dr. Horrible with .  don`t be mad!,Watching Dr. Horrible with .  don`t be mad!,neutral
40de79a5c6,I`m really full. Had a HUGE breakfast.,I`m really full. Had a HUGE breakfast.,neutral
b7da4ae7b8," on iPhone? Soon they`re adding auto-fill on logins, so you won`t have to type it all out everytime.","on iPhone? Soon they`re adding auto-fill on logins, so you won`t have to type it all out everytime.",neutral
83eba3aadd, i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!,i`m sure will be amazing.please just replay to me  i love you so much!!!!,positive
46a6a79fa7,work suckd.. another closing nite with 30 dollars pockeded..  i need a new job,work suckd..,negative
4ede715977,im still waitin for my girl to come home...i wanna go shopping,im still waitin for my girl to come home...i wanna go shopping,neutral
d67abdeb83,back to school! feels like its gonna be a great day,great day,positive
82d9b0bc51, Lindsay we are your spanish fansite and we love you www.ultimatelohan.org please reply us  I wish you a good flight <3,Lindsay we are your spanish fansite and we love you www.ultimatelohan.org please reply us  I wish you a good flight <3,positive
caf7c0417d,Is getting more and more excited about thorpe park tomorrow,more and more excited,positive
bbbccb9c0e,#com125: we have a quiz! again .. Feliza is bugging us again  its getting very annoying!,its getting very annoying!,negative
ec9796fa7a,"Gmorning   ooh giirll, Mondays",Gmorning,positive
20314ef0ab,computer.. please stop being so loud so i can do my work,stop,negative
0acdbe351f," When I heard 'No One' from Alicia Keys like, 10 minutes ago? You made my night","When I heard 'No One' from Alicia Keys like, 10 minutes ago? You made my night",neutral
3b87f94f02,"Hey David! Gone on the Eye yet? It`s my birthday, and you singing @ Ipswitch-best present ever! Have fun breakfast hunting!",best present ever! Have fun breakfast hunting!,positive
962887779b,"rblpn   , You know, I could listen to every version of War Pigs ever recorded  ? http://blip.fm/~5z10d","rblpn   , You know, I could listen to every version of War Pigs ever recorded  ? http://blip.fm/~5z10",neutral
d6b4aa81ee," from your fevered imagination, my son","r fevered imagination,",negative
4101fad169,Home from a day of pampering with mom & dinner with family. Am currently snuggied up on the couch with a glass of wine & a new book. Ahhh,pampering wi,positive
f1cfe52789,"Ate Mandy, please forgive me. I really am sorry. I don`t wanna lose my Bff",I really am sorry.,negative
9f54a6a14c,"Monday, Monday. Mr. Cade is home on the couch & I have lots to do today!","Monday, Monday. Mr. Cade is home on the couch & I have lots to do today!",neutral
0ca5e24eb3,"   Does she like it, or does she roll her eyes?  Now I`m curious as hell!  Good singing is a real treat as far am I`m concerned!",s?  Now I`m curious as hel,positive
78643fbfe9," ooo... No I believe they`ve all closed down, even the ones at the airport","ooo... No I believe they`ve all closed down, even the ones at the airport",neutral
c811396dc2,Layin n bed with a headache  ughhhh...waitin on your call...,headache,negative
8c96618bee,"Oh noes, Not Your Average Joes in Lexington is closing!  Sad",Sad,negative
366b5ae639,i am going to be staring at hello kitty`s face at 3-9,i am going to be staring at hello kitty`s face at 3-9,neutral
760a9bbdb7, Oh THOSE messages. Probably not,Oh THOSE messages. Probably not,neutral
2abf604274,Mondays best excited about the week!!,best excited,positive
2227875637,What a beautiful day! Hangin with the guys Graham and Josiah  lol waiting for the others. If you wanna stop by come on over ;) with food,beautiful,positive
